"specificEpithet","id","institutionCode","year","month","day","eventDate","stateProvince","county","references","lon","lat","geoclass"
"subcordata",23734654,"Harvard",NA,NA,NA,"","Oregon","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23734654",NA,NA,"county_centroid"
"subcordata",23568500,"Harvard",1936,3,29,"1936-03-29","California","mendocino ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568500",NA,NA,"county_centroid"
"subcordata",23568489,"Harvard",1965,4,26,"1965-04-26","California","madera ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568489",NA,NA,"county_centroid"
"subcordata",13939791,"COLO",NA,NA,NA,"","California","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=13939791",NA,NA,"county_centroid"
"subcordata",23568491,"Harvard",1920,5,26,"1920-05-26","California","plumas ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568491",NA,NA,"county_centroid"
"subcordata",23568497,"Harvard",1964,4,15,"1964-04-15","California","mariposa ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568497",NA,NA,"county_centroid"
"subcordata",25295447,"NY",1955,7,13,"1955-07-13","California","placer ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=25295447",NA,NA,"county_centroid"
"subcordata",23734651,"Harvard",NA,NA,NA,"","Oregon","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23734651",NA,NA,"county_centroid"
"subcordata",23568472,"Harvard",1985,6,6,"1985-06-06","California","siskiyou ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568472",NA,NA,"county_centroid"
"subcordata",13939795,"COLO",NA,NA,NA,"","California","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=13939795",NA,NA,"county_centroid"
"subcordata",23568480,"Harvard",NA,NA,NA,"","California","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568480",NA,NA,"county_centroid"
"subcordata",23568470,"Harvard",1902,4,4,"1902-04-04","California","sonoma ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568470",NA,NA,"county_centroid"
"subcordata",23734648,"Harvard",NA,NA,NA,"","Idaho","nez perce ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23734648",NA,NA,"county_centroid"
"subcordata",23568474,"Harvard",1938,8,5,"1938-08-05","California","siskiyou ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568474",NA,NA,"county_centroid"
"subcordata",14753029,"NY",1988,5,14,"1988-05-14","California","modoc ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=14753029",NA,NA,"county_centroid"
"subcordata",23568471,"Harvard",1912,0,0,"1912-00-00","California","shasta ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568471",NA,NA,"county_centroid"
"subcordata",23568490,"Harvard",1933,5,12,"1933-05-12","California","tulare ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568490",NA,NA,"county_centroid"
"subcordata",23568493,"Harvard",1920,5,27,"1920-05-27","California","plumas ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568493",NA,NA,"county_centroid"
"subcordata",23568498,"Harvard",1919,6,29,"1919-06-29","California","mariposa ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568498",NA,NA,"county_centroid"
"subcordata",23734650,"Harvard",NA,NA,NA,"","Oregon","klamath ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23734650",NA,NA,"county_centroid"
"subcordata",20789632,"GAS",2000,4,16,"2000-04-16","California","el dorado ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=20789632",NA,NA,"county_centroid"
"subcordata",25295166,"NY",1959,5,11,"1959-05-11","Oregon","klamath ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=25295166",NA,NA,"county_centroid"
"subcordata",14794093,"NY",1935,8,6,"1935-08-06","California","modoc ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=14794093",NA,NA,"county_centroid"
"subcordata",23734653,"Harvard",NA,NA,NA,"","Oregon","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23734653",NA,NA,"county_centroid"
"subcordata",23568482,"Harvard",NA,NA,NA,"","California","sierra ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568482",NA,NA,"county_centroid"
"subcordata",23568495,"Harvard",1904,4,7,"1904-04-07","California","san mateo ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568495",NA,NA,"county_centroid"
"subcordata",23568469,"Harvard",1891,3,0,"1891-03-00","California","alameda ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568469",NA,NA,"county_centroid"
"subcordata",23734656,"Harvard",NA,NA,NA,"","Oregon","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23734656",NA,NA,"county_centroid"
"subcordata",23568486,"Harvard",1901,3,16,"1901-03-16","California","lake ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568486",NA,NA,"county_centroid"
"subcordata",23568476,"Harvard",1942,5,14,"1942-05-14","California","siskiyou ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568476",NA,NA,"county_centroid"
"subcordata",23734649,"Harvard",NA,NA,NA,"","Oregon","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23734649",NA,NA,"county_centroid"
"subcordata",23568487,"Harvard",1920,5,26,"1920-05-26","California","plumas ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568487",NA,NA,"county_centroid"
"subcordata",23568483,"Harvard",1989,5,8,"1989-05-08","California","modoc ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568483",NA,NA,"county_centroid"
"subcordata",2838221,"NY",1955,7,8,"1955-07-08","California","modoc ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=2838221",NA,NA,"county_centroid"
