,id,type,modified,language,license,rightsHolder,accessRights,references,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,occurrenceRemarks,recordNumber,recordedBy,sex,reproductiveCondition,occurrenceStatus,preparations,disposition,otherCatalogNumbers,associatedMedia,samplingProtocol,eventDate,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNumber,higherGeography,continent,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,minimumElevationInMeters,maximumElevationInMeters,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,identificationQualifier,typeStatus,scientificName,family,genus,specificEpithet,infraspecificEpithet,scientificNameAuthorship
1,f5a04de8-41ae-4760-9d4c-c07dd36a10f4,http://purl.org/dc/dcmitype/PhysicalObject,28:16.0,en,https://huh.harvard.edu/pages/use,President and Fellows of Harvard College,https://huh.harvard.edu/access-digital-reproductions-works-public-domain,http://data.huh.harvard.edu/f5a04de8-41ae-4760-9d4c-c07dd36a10f4/image,urn:lsid:biocol.org:col:15631,urn:lsid:biocol.org:col:15631,NA,GH,GH,Harvard University Herbaria: All Records,PreservedSpecimen,NA,NA,"{huh_taxonomic_group: Vascular, huh_project_id: 7, huh_project_name: US and Canada - Mass Digitization}",f5a04de8-41ae-4760-9d4c-c07dd36a10f4,barcode-01722698,NA,52587,V. L. Cory,undetermined,NotDetermined,present,Sheet,in collection,,[see Simple Media extension],NA,4/3/47,NA,NA,1947,4,3,,along gullied drainage courses of woods hills,52587,North America;United States of America;Texas;Anderson County;,North America,NA,NA,United States of America,US,Texas,Anderson County,,2 miles north of Palestine;,2 miles north of Palestine;,,NA,NA,,NA,NA,,NA,,,,,NA,,Prunus mexicana S. Watson,Rosaceae,Prunus,mexicana,,S. Watson
2,192119c3-3e0e-4c09-a9dd-01d1f4b18d83,http://purl.org/dc/dcmitype/PhysicalObject,23:55.0,en,https://huh.harvard.edu/pages/use,President and Fellows of Harvard College,https://huh.harvard.edu/access-digital-reproductions-works-public-domain,http://data.huh.harvard.edu/192119c3-3e0e-4c09-a9dd-01d1f4b18d83/image,urn:lsid:biocol.org:col:15406,urn:lsid:biocol.org:col:15406,NA,A,A,Harvard University Herbaria: All Records,PreservedSpecimen,NA,NA,"{huh_taxonomic_group: Vascular, huh_project_id: 7, huh_project_name: US and Canada - Mass Digitization}",192119c3-3e0e-4c09-a9dd-01d1f4b18d83,barcode-01722468,NA,,[data not captured],undetermined,NotDetermined,present,Sheet,in collection,,[see Simple Media extension],NA,,NA,NA,NA,NA,NA,,,,North America;United States of America;Arkansas;Ashley County;,North America,NA,NA,United States of America,US,Arkansas,Ashley County,,[data not captured],[data not captured],,NA,NA,,NA,NA,,NA,,,,,NA,,Prunus mexicana S. Watson,Rosaceae,Prunus,mexicana,,S. Watson
3,ffb24e7f-889f-4327-a007-a4a8f3632be0,http://purl.org/dc/dcmitype/PhysicalObject,09:03.0,en,https://huh.harvard.edu/pages/use,President and Fellows of Harvard College,https://huh.harvard.edu/access-digital-reproductions-works-public-domain,http://data.huh.harvard.edu/ffb24e7f-889f-4327-a007-a4a8f3632be0/image,urn:lsid:biocol.org:col:15631,urn:lsid:biocol.org:col:15631,NA,GH,GH,Harvard University Herbaria: All Records,PreservedSpecimen,NA,NA,"{huh_taxonomic_group: Vascular, huh_project_id: 7, huh_project_name: US and Canada - Mass Digitization}",ffb24e7f-889f-4327-a007-a4a8f3632be0,barcode-01722514,NA,,[data not captured],undetermined,NotDetermined,present,Sheet,in collection,,[see Simple Media extension],NA,,NA,NA,NA,NA,NA,,,,North America;United States of America;Missouri;Audrain County;,North America,NA,NA,United States of America,US,Missouri,Audrain County,,[data not captured],[data not captured],,NA,NA,,NA,NA,,NA,,,,,NA,,Prunus mexicana S. Watson,Rosaceae,Prunus,mexicana,,S. Watson
4,c866b5ed-e6b9-4838-b5c5-3707fd2979a2,http://purl.org/dc/dcmitype/PhysicalObject,23:53.0,en,https://huh.harvard.edu/pages/use,President and Fellows of Harvard College,https://huh.harvard.edu/access-digital-reproductions-works-public-domain,http://data.huh.harvard.edu/c866b5ed-e6b9-4838-b5c5-3707fd2979a2/image,urn:lsid:biocol.org:col:15631,urn:lsid:biocol.org:col:15631,NA,GH,GH,Harvard University Herbaria: All Records,PreservedSpecimen,NA,NA,"{huh_taxonomic_group: Vascular, huh_project_id: 7, huh_project_name: US and Canada - Mass Digitization}",c866b5ed-e6b9-4838-b5c5-3707fd2979a2,barcode-01722696,NA,249,T. Drummond,undetermined,NotDetermined,present,Sheet,in collection,,[see Simple Media extension],NA,,NA,NA,NA,NA,NA,,,249,North America;United States of America;Texas;Austin County;,North America,NA,NA,United States of America,US,Texas,Austin County,San Felipe,[no additional data],[no additional data],,NA,NA,,NA,NA,,NA,,,,,NA,,Prunus mexicana S. Watson,Rosaceae,Prunus,mexicana,,S. Watson
5,8a87314f-4896-4bf1-9860-dc3ea6a9eb8a,http://purl.org/dc/dcmitype/PhysicalObject,49:47.0,en,https://huh.harvard.edu/pages/use,President and Fellows of Harvard College,https://huh.harvard.edu/access-digital-reproductions-works-public-domain,http://data.huh.harvard.edu/8a87314f-4896-4bf1-9860-dc3ea6a9eb8a/image,urn:lsid:biocol.org:col:15406,urn:lsid:biocol.org:col:15406,NA,A,A,Harvard University Herbaria: All Records,PreservedSpecimen,NA,NA,"{huh_taxonomic_group: Vascular, huh_project_id: 7, huh_project_name: US and Canada - Mass Digitization}",8a87314f-4896-4bf1-9860-dc3ea6a9eb8a,barcode-01722495,NA,,[data not captured],undetermined,NotDetermined,present,Sheet,in collection,,[see Simple Media extension],NA,,NA,NA,NA,NA,NA,,,,North America;United States of America;Kentucky;Ballard County;,North America,NA,NA,United States of America,US,Kentucky,Ballard County,,[data not captured],[data not captured],,NA,NA,,NA,NA,,NA,,,,,NA,,Prunus mexicana S. Watson,Rosaceae,Prunus,mexicana,,S. Watson
6,7a6f4a04-0a55-4690-9559-23ee44ac74e1,http://purl.org/dc/dcmitype/PhysicalObject,58:31.0,en,https://huh.harvard.edu/pages/use,President and Fellows of Harvard College,https://huh.harvard.edu/access-digital-reproductions-works-public-domain,http://data.huh.harvard.edu/7a6f4a04-0a55-4690-9559-23ee44ac74e1/image,urn:lsid:biocol.org:col:15406,urn:lsid:biocol.org:col:15406,NA,A,A,Harvard University Herbaria: All Records,PreservedSpecimen,NA,NA,"{huh_taxonomic_group: Vascular, huh_project_id: 7, huh_project_name: US and Canada - Mass Digitization}",7a6f4a04-0a55-4690-9559-23ee44ac74e1,barcode-01722431,NA,,[data not captured],undetermined,NotDetermined,present,Sheet,in collection,,[see Simple Media extension],NA,,NA,NA,NA,NA,NA,,,,North America;United States of America;Arkansas;Baxter County;,North America,NA,NA,United States of America,US,Arkansas,Baxter County,,[data not captured],[data not captured],,NA,NA,,NA,NA,,NA,,,,,NA,,Prunus mexicana S. Watson,Rosaceae,Prunus,mexicana,,S. Watson
7,ed30a86e-8d68-4daf-b279-aba8459b9514,http://purl.org/dc/dcmitype/PhysicalObject,17:29.0,en,https://huh.harvard.edu/pages/use,President and Fellows of Harvard College,https://huh.harvard.edu/access-digital-reproductions-works-public-domain,http://data.huh.harvard.edu/ed30a86e-8d68-4daf-b279-aba8459b9514/image,urn:lsid:biocol.org:col:15406,urn:lsid:biocol.org:col:15406,NA,A,A,Harvard University Herbaria: All Records,PreservedSpecimen,NA,NA,"{huh_taxonomic_group: Vascular, huh_project_id: 7, huh_project_name: US and Canada - Mass Digitization}",ed30a86e-8d68-4daf-b279-aba8459b9514,barcode-01722678,NA,27,B. Mackensen,undetermined,NotDetermined,present,Sheet,in collection,,[see Simple Media extension],NA,1909-12,NA,NA,1909,12,NA,,,27,North America;United States of America;Texas;Bexar County;,North America,NA,NA,United States of America,US,Texas,Bexar County,San Antonio,[no additional data],[no additional data],,NA,NA,,NA,NA,,NA,,,,,NA,,Prunus mexicana S. Watson,Rosaceae,Prunus,mexicana,,S. Watson
8,1ee4dc34-06c2-4c69-892f-07e2056c5b38,http://purl.org/dc/dcmitype/PhysicalObject,18:12.0,en,https://huh.harvard.edu/pages/use,President and Fellows of Harvard College,https://huh.harvard.edu/access-digital-reproductions-works-public-domain,http://data.huh.harvard.edu/1ee4dc34-06c2-4c69-892f-07e2056c5b38/image,urn:lsid:biocol.org:col:15406,urn:lsid:biocol.org:col:15406,NA,A,A,Harvard University Herbaria: All Records,PreservedSpecimen,NA,NA,"{huh_taxonomic_group: Vascular, huh_project_id: 7, huh_project_name: US and Canada - Mass Digitization}",1ee4dc34-06c2-4c69-892f-07e2056c5b38,barcode-01722679,NA,,B. Mackensen,undetermined,NotDetermined,present,Sheet,in collection,,[see Simple Media extension],NA,1910,NA,NA,1910,NA,NA,,,,North America;United States of America;Texas;Bexar County;,North America,NA,NA,United States of America,US,Texas,Bexar County,San Antonio,Williant [illegible],Williant [illegible],,NA,NA,,NA,NA,,NA,,,,,NA,,Prunus mexicana S. Watson,Rosaceae,Prunus,mexicana,,S. Watson
9,b9c197df-8eef-49d2-ae30-cd07987df374,http://purl.org/dc/dcmitype/PhysicalObject,18:46.0,en,https://huh.harvard.edu/pages/use,President and Fellows of Harvard College,https://huh.harvard.edu/access-digital-reproductions-works-public-domain,http://data.huh.harvard.edu/b9c197df-8eef-49d2-ae30-cd07987df374/image,urn:lsid:biocol.org:col:15406,urn:lsid:biocol.org:col:15406,NA,A,A,Harvard University Herbaria: All Records,PreservedSpecimen,NA,NA,"{huh_taxonomic_group: Vascular, huh_project_id: 7, huh_project_name: US and Canada - Mass Digitization}",b9c197df-8eef-49d2-ae30-cd07987df374,barcode-01722680,NA,28,B. Mackensen,undetermined,NotDetermined,present,Sheet,in collection,,[see Simple Media extension],NA,3/14/10,NA,NA,1910,3,14,,,28,North America;United States of America;Texas;Bexar County;,North America,NA,NA,United States of America,US,Texas,Bexar County,San Antonio,[no additional data],[no additional data],,NA,NA,,NA,NA,,NA,,,,,NA,,Prunus mexicana S. Watson,Rosaceae,Prunus,mexicana,,S. Watson
10,01f27cf3-a549-4a24-9c9d-70e17317aedd,http://purl.org/dc/dcmitype/PhysicalObject,19:22.0,en,https://huh.harvard.edu/pages/use,President and Fellows of Harvard College,https://huh.harvard.edu/access-digital-reproductions-works-public-domain,http://data.huh.harvard.edu/01f27cf3-a549-4a24-9c9d-70e17317aedd/image,urn:lsid:biocol.org:col:15406,urn:lsid:biocol.org:col:15406,NA,A,A,Harvard University Herbaria: All Records,PreservedSpecimen,NA,NA,"{huh_taxonomic_group: Vascular, huh_project_id: 7, huh_project_name: US and Canada - Mass Digitization}",01f27cf3-a549-4a24-9c9d-70e17317aedd,barcode-01722681,NA,796,B. F. Bush,undetermined,NotDetermined,present,Sheet,in collection,,[see Simple Media extension],NA,9/16/07,NA,NA,1907,9,16,,in woods,796,North America;United States of America;Texas;Bexar County;,North America,NA,NA,United States of America,US,Texas,Bexar County,San Antonio,[no additional data],[no additional data],,NA,NA,,NA,NA,,NA,,,,,NA,,Prunus mexicana S. Watson,Rosaceae,Prunus,mexicana,,S. Watson
11,b36090d5-8493-49a4-b0eb-4c94d95b4d1a,http://purl.org/dc/dcmitype/PhysicalObject,19:56.0,en,https://huh.harvard.edu/pages/use,President and Fellows of Harvard College,https://huh.harvard.edu/access-digital-reproductions-works-public-domain,http://data.huh.harvard.edu/b36090d5-8493-49a4-b0eb-4c94d95b4d1a/image,urn:lsid:biocol.org:col:15406,urn:lsid:biocol.org:col:15406,NA,A,A,Harvard University Herbaria: All Records,PreservedSpecimen,NA,NA,"{huh_taxonomic_group: Vascular, huh_project_id: 7, huh_project_name: US and Canada - Mass Digitization}",b36090d5-8493-49a4-b0eb-4c94d95b4d1a,barcode-01722682,NA,1207,B. F. Bush,undetermined,NotDetermined,present,Sheet,in collection,,[see Simple Media extension],NA,3/24/02,NA,NA,1902,3,24,,in woods,1207,North America;United States of America;Texas;Bexar County;,North America,NA,NA,United States of America,US,Texas,Bexar County,San Antonio,[no additional data],[no additional data],,NA,NA,,NA,NA,,NA,,,,,NA,,Prunus mexicana S. Watson,Rosaceae,Prunus,mexicana,,S. Watson
12,ef5254b5-72cf-4bf1-bc33-1668ea284c04,http://purl.org/dc/dcmitype/PhysicalObject,20:51.0,en,https://huh.harvard.edu/pages/use,President and Fellows of Harvard College,https://huh.harvard.edu/access-digital-reproductions-works-public-domain,http://data.huh.harvard.edu/ef5254b5-72cf-4bf1-bc33-1668ea284c04/image,urn:lsid:biocol.org:col:15406,urn:lsid:biocol.org:col:15406,NA,A,A,Harvard University Herbaria: All Records,PreservedSpecimen,NA,NA,"{huh_taxonomic_group: Vascular, huh_project_id: 7, huh_project_name: US and Canada - Mass Digitization}",ef5254b5-72cf-4bf1-bc33-1668ea284c04,barcode-01722683,NA,1155,B. F. Bush,undetermined,NotDetermined,present,Sheet,in collection,,[see Simple Media extension],NA,3/22/02,NA,NA,1902,3,22,,in woods,1155,North America;United States of America;Texas;Bexar County;,North America,NA,NA,United States of America,US,Texas,Bexar County,San Antonio,[no additional data],[no additional data],,NA,NA,,NA,NA,,NA,,,,,NA,,Prunus mexicana S. Watson,Rosaceae,Prunus,mexicana,,S. Watson
