Family,Genus,species,Proteranthous?,habit,pollination syndrome,,
Adoxaceae,Viburnum,lantinoides,N,shrub,insect,,
Adoxaceae,Viburnum,cassiniodes,N,shrub,insect,,
Aquifolieaceae,Ilex,mucronata,N,shrub,insect,,
Aquifolieaceae,Ilex,verticilata,N,shrub,insect,*not observed by DF,
Betulaceae,Corylus,cornuta,Y,shrub,wind,,
Betulaceae,Alnus,incana,Y,tree,wind,,
Fabaceae,Cercis,canadensis,Y,tree,insect,*not observed by DF,
Fagaceae,Quercus,rubra,Y/N,tree,wind,,
Fagaceae,Quercus,alba,Y/N,tree,wind,,
Fagaceae,Fagus,grandifolia,N,tree,wind,,
Juglandaceae,Carya,ovata,Y/N,tree,wind,,
Oleaceaue,Fraxinus,americana,Y,tree,wind,,
Roseaceae,Prunus,pensylvanica,N,shrub,insect,,
Roseaceae,Prunus,avium,Y,tree,insect,*not observed by DF,*exotic but hysteranthous insect pollinated
Roseaceae,Prunus,serotina,N,tree,insect,,
Salicaceae,Populus,grandidentata,Y,tree,wind,,
Sapindaceae,Acer,rubrum,Y,tree,wind?,,
Sapindaceae,Acer,spicatum,N,shrub,insect/wind,,
Sapindaceae,Acer,saccharum,Y/N,tree,insect/wind,,
Sapindaceae,Acer,pensylvanicum,N,tree,insect/wind,,
Sapindaceae,Acer,negundo,Y,tree,wind,*not observed by DF,
,,,,,,,
,Conus,florida,,,,,
,Cornus,amomum,,,,,
,Cornus,mas,,,,arboretum,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
short list,,,,,,,
Hyst,Non-Hyst,,,,,,
C. cornuta,I verticilata,,,,,,
Betula allegheniensis,P. pensylvanicum,,,,,,
A. saccharrum,A. pensyvanicum,,864,total cuttings,,,
A. rubrum,F. grandifolia,,,,,,
F. americana,Q. rubra,,,,,,
P. grandidentata,V. cassionoides,,,,,,
,,,,,,,
,,,,,72,,
