"","Family","Genus","Species","Pollination","Phen.sequence","heigh_height","flower_class","flo_time","av_fruit_time","shade_tol","imputed_resp","imputed_pred","name","pro","pro2","pol","class","class2","flo_type","shade_bin","fruiting","pro3","min._precip","min_temp","frost_free"
"1","Smilaceae","Smilax","rotundifolia","insect","ser",5,"dioecious",6,10.5,"intolerant","Y","N","Smilax_rotundifolia",0,0,0,"0shrub",0,1,0,10.5,0,32,-33,185
"2","Lauraceae","Lindera","benzoin","insect","pro",5,"dioecious",4,8,"moderately_tolerant","N","N","Lindera_benzoin",1,1,0,"0shrub",0,1,1,8,1,32,-23,120
"3","Lauraceae","Sassafras","albidum","insect","syn",18,"dioecious",5,9.5,"tolerant","N","N","Sassafras_albidum",0,1,0,"1smalltree",1,1,1,9.5,0,30,-27,160
"4","Magnoliaceae","Liriodendron","tulipifera","insect","ser",32,"perfect",5.5,9.5,"intolerant","N","N","Liriodendron_tulipifera",0,0,0,"2talltree",1,0,0,9.5,0,30,-18,150
"5","Annonanceae","Asimina","triloba","insect","pro",9,"perfect",5.5,9.5,"tolerant","N","N","Asimina_triloba",1,1,0,"0shrub",0,0,1,9.5,1,36,-27,160
"6","Platanaceae","Platanus","occidentalis","wind","syn",30,"monoecious",5,10,"intolerant","N","N","Platanus_occidentalis",0,1,1,"2talltree",1,1,0,10,0,30,-35,100
"7","Ranunculaceae","Clematis","virginiana","insect","ser",5,"monoecious",7.5,9,"intolerant","Y","N","Clematis_virginiana",0,0,0,"0shrub",0,1,0,9,0,32,-38,85
"8","Hammamelidaceae","Liquidambar","styraciflua","wind","syn",22,"monoecious",4.5,12,"intolerant","N","N","Liquidambar_styraciflua",0,1,1,"2talltree",1,1,0,12,0,40,-21,180
"9","Hammamelidaceae","Hamamelis","virginiana","insect","hyst",10,"perfect",10.5,10.5,"tolerant","N","N","Hamamelis_virginiana",0,0,0,"1smalltree",0,0,1,10.5,0,30,-28,120
"10","Grossulariaceae","Ribes","lacustre","insect","ser",1,"perfect",5.5,8,"moderately_tolerant","Y","N","Ribes_lacustre",0,0,0,"0shrub",0,0,1,8,0,8,-62,120
"11","Grossulariaceae","Ribes","triste","insect","syn",1,"perfect",5,7.5,"moderately_tolerant","N","N","Ribes_triste",0,1,0,"0shrub",0,0,1,7.5,0,9,-62,115
"12","Grossulariaceae","Ribes","americanum","insect","ser",1.5,"perfect",4.5,7.5,"intolerant","Y","N","Ribes_americanum",0,0,0,"0shrub",0,0,0,7.5,0,12,-46,128
"13","Vitaceae","Parthenocissus","tricuspidata","insect","ser",18,"perfect",6.5,10.5,"intolerant","Y","N","Parthenocissus_tricuspidata",0,0,0,"1smalltree",1,0,0,10.5,0,35,-28,110
"14","Vitaceae","Parthenocissus","quinquefolia","insect","ser",20,"perfect",6.5,9.5,"moderately_tolerant","Y","N","Parthenocissus_quinquefolia",0,0,0,"2talltree",1,0,1,9.5,0,32,-28,130
"15","Vitaceae","Vitis","aestivalis","insect","ser",10,"monoecious",5.5,9.5,"intolerant","Y","N","Vitis_aestivalis",0,0,0,"1smalltree",0,1,0,9.5,0,30,-23,120
"16","Vitaceae","Vitis","riparia","insect","ser",10,"monoecious",5.5,9.5,"intolerant","Y","N","Vitis_riparia",0,0,0,"1smalltree",0,1,0,9.5,0,32,-33,170
"17","Malvaceae","Tilia","americana","insect","ser",30,"perfect",6.5,10,"tolerant","N","N","Tilia_americana",0,0,0,"2talltree",1,0,1,10,0,21,-46,80
"18","Malvaceae","Tilia","cordata","insect","ser",18,"perfect",6.5,10,"tolerant","N","N","Tilia_cordata",0,0,0,"1smalltree",1,0,1,10,0,30,-33,140
"19","Anacardiaceae","Rhus","glabra","insect","ser",7,"dioecious",6,9.5,"intolerant","N","N","Rhus_glabra",0,0,0,"0shrub",0,1,0,9.5,0,30,-33,135
"20","Sapindaceae","Aesculus","glabra","insect","ser",15,"monoecious",4.5,10,"moderately_tolerant","N","N","Aesculus_glabra",0,0,0,"1smalltree",0,1,1,10,0,30,-33,145
"21","Sapindaceae","Acer","spicatum","insect","ser",9,"monoecious",6,7.5,"tolerant","N","N","Acer_spicatum",0,0,0,"0shrub",0,1,1,7.5,0,30,-47,100
"22","Sapindaceae","Acer","platanoides","wind","pro/syn",18,"dioecious",5.5,9.5,"tolerant","N","N","Acer_platanoides",1,1,1,"1smalltree",1,1,1,9.5,0,32,-28,130
"23","Sapindaceae","Acer","pensylvanicum","insect","syn/ser",12,"dioecious",5.5,7.5,"tolerant","N","N","Acer_pensylvanicum",0,0,0,"1smalltree",0,1,1,7.5,0,24,-47,90
"24","Sapindaceae","Acer","negundo","wind","pro/syn",25,"dioecious",4.5,9.5,"intolerant","N","N","Acer_negundo",1,1,1,"2talltree",1,1,0,9.5,0,15,-46,100
"25","Sapindaceae","Acer","saccharinum","wind","pro",30,"monoecious",3.5,5,"intolerant","N","N","Acer_saccharinum",1,1,1,"2talltree",1,1,0,5,1,20,-47,120
"26","Sapindaceae","Acer","rubrum","wind","pro",30,"monoecious",4,5.5,"tolerant","N","N","Acer_rubrum",1,1,1,"2talltree",1,1,1,5.5,1,25,-47,80
"27","Sapindaceae","Acer","saccharum","wind","syn",30,"monoecious",4.5,9.5,"tolerant","N","N","Acer_saccharum",0,1,1,"2talltree",1,1,1,9.5,0,22,-47,80
"28","Simaroubaceae","Ailanthus","altissima","insect","ser",20,"dioecious",6,10,"intolerant","N","N","Ailanthus_altissima",0,0,0,"2talltree",1,1,0,10,0,14,-18,150
"29","Rutaceae","Ptelea","trifoliata","insect","syn",5,"perfect",6,9.5,"moderately_tolerant","N","N","Ptelea_trifoliata",0,1,0,"0shrub",0,0,1,9.5,0,30,-33,165
"30","Celastraceae","Celastrus","scandens","insect","ser",15,"monoecious",4.5,9.5,"intolerant","Y","N","Celastrus_scandens",0,0,0,"1smalltree",0,1,0,9.5,0,30,-38,110
"31","Hypericaceae","Hypericum","prolificum","insect","ser",2,"perfect",7.5,8.5,"intolerant","Y","N","Hypericum_prolificum",0,0,0,"0shrub",0,0,0,8.5,0,30,-28,100
"32","Salicaceae","Populus","heterophylla","wind","pro",18,"dioecious",3.5,5.5,"intolerant","N","N","Populus_heterophylla",1,1,1,"1smalltree",1,1,0,5.5,1,35,-23,180
"33","Salicaceae","Populus","deltoides","wind","pro",32,"dioecious",4.5,5.5,"intolerant","N","N","Populus_deltoides",1,1,1,"2talltree",1,1,0,5.5,1,18,-43,100
"34","Salicaceae","Populus","balsamifera","wind","pro",30,"dioecious",4.5,5.5,"intolerant","N","N","Populus_balsamifera",1,1,1,"2talltree",1,1,0,5.5,1,6,-79,75
"35","Salicaceae","Populus","nigra",NA,"pro",20,"dioecious",4.5,NA,"intolerant","N","N","Populus_nigra",1,1,1,"2talltree",1,1,0,5.5,1,20,-28,160
"36","Salicaceae","Populus","grandidentata","wind","pro",32,"dioecious",4,5.5,"intolerant","N","N","Populus_grandidentata",1,1,1,"2talltree",1,1,0,5.5,1,20,-43,90
"37","Salicaceae","Populus","tremuloides","wind","pro",32,"dioecious",3.5,5.5,"intolerant","N","N","Populus_tremuloides",1,1,1,"2talltree",1,1,0,5.5,1,7,-70,70
"38","Salicaceae","Salix","humilis","ambo","pro",3,"dioecious",4,5,"intolerant","N","N","Salix_humilis",1,1,0,"0shrub",0,1,0,5,1,20,-43,80
"39","Salicaceae","Salix","candida","ambo","pro/syn",1.5,"dioecious",5,6,"intolerant","N","N","Salix_candida",1,1,0,"0shrub",0,1,0,6,0,24,-33,120
"40","Salicaceae","Salix","nigra","ambo","syn",20,"dioecious",4.5,6,"intolerant","N","N","Salix_nigra",0,1,0,"2talltree",1,1,0,6,0,18,-58,120
"41","Salicaceae","Salix","alba","ambo","syn",25,"dioecious",4.5,5.5,"intolerant","N","N","Salix_alba",0,1,0,"2talltree",1,1,0,5.5,0,20,-33,100
"42","Salicaceae","Salix","lucida","ambo","syn",6,"dioecious",5.5,6.5,"intolerant","N","N","Salix_lucida",0,1,0,"0shrub",0,1,0,6.5,0,30,-43,80
"43","Salicaceae","Salix","discolor","ambo","pro",3,"dioecious",3.5,5.5,"intolerant","N","N","Salix_discolor",1,1,0,"0shrub",0,1,0,5.5,1,20,-33,95
"44","Salicaceae","Salix","amygdaloides","ambo","syn",12,"dioecious",4,5,"intolerant","N","N","Salix_amygdaloides",0,1,0,"1smalltree",0,1,0,5,0,24,-33,130
"45","Salicaceae","Salix","interior","ambo","syn",4,"dioecious",4.5,6,"intolerant","N","N","Salix_interior",0,1,0,"0shrub",0,1,0,6,0,10,-62,120
"46","Salicaceae","Salix","eriocephala","ambo","pro/syn",6,"dioecious",4.5,5.5,"intolerant","N","N","Salix_eriocephala",1,1,0,"0shrub",0,1,0,5.5,0,20,-38,95
"47","Salicaceae","Salix","bebbiana","ambo","pro/syn",4,"dioecious",4.5,5.5,"intolerant","N","N","Salix_bebbiana",1,1,0,"0shrub",0,1,0,5.5,0,20,-4,80
"48","Fagaceae","Fagus","grandifolia","wind","syn",28,"monoecious",4.5,9.5,"tolerant","N","N","Fagus_grandifolia",0,1,1,"2talltree",1,1,1,9.5,0,28,-44,92
"49","Fagaceae","Castanea","dentata","ambo","ser",30,"monoecious",6.5,9.5,"intolerant","N","N","Castanea_dentata",0,0,0,"2talltree",1,1,0,9.5,0,35,-33,150
"50","Fagaceae","Quercus","coccinea","wind","syn",21,"monoecious",5,19,"intolerant","N","N","Quercus_coccinea",0,1,1,"2talltree",1,1,0,19,0,30,-28,160
"51","Fagaceae","Quercus","muehlenbergii","wind","syn",25,"monoecious",5.5,9.5,"moderately_tolerant","N","N","Quercus_muehlenbergii",0,1,1,"2talltree",1,1,1,9.5,0,20,-33,120
