s_id;lon;lat;alt;plant_id;cult_id;bbch;year;day
19293;15.4;44.533;566;222;130;11;1961;117
19295;16.55;46.033;138;222;130;11;1961;100
19298;14.767;44.75;26;222;130;11;1961;96
19291;17.233;45.6;161;222;130;11;1962;118
19295;16.55;46.033;138;222;130;11;1962;118
19291;17.233;45.6;161;222;130;11;1963;111
19291;17.233;45.6;161;222;130;11;1964;113
19293;15.4;44.533;566;222;130;11;1964;118
19295;16.55;46.033;138;222;130;11;1964;111
19296;18.233;45.367;231;222;130;11;1964;113
19297;15.283;45.267;325;222;130;11;1964;113
19298;14.767;44.75;26;222;130;11;1964;103
19291;17.233;45.6;161;222;130;11;1965;112
19295;16.55;46.033;138;222;130;11;1965;110
19296;18.233;45.367;231;222;130;11;1965;115
19297;15.283;45.267;325;222;130;11;1965;116
19298;14.767;44.75;26;222;130;11;1965;100
19291;17.233;45.6;161;222;130;11;1966;110
19295;16.55;46.033;138;222;130;11;1966;105
19296;18.233;45.367;231;222;130;11;1966;109
19297;15.283;45.267;325;222;130;11;1966;103
19298;14.767;44.75;26;222;130;11;1966;99
19293;15.4;44.533;566;222;130;11;1967;113
19296;18.233;45.367;231;222;130;11;1967;113
19291;17.233;45.6;161;222;130;11;1968;103
19295;16.55;46.033;138;222;130;11;1968;100
19296;18.233;45.367;231;222;130;11;1968;104
19297;15.283;45.267;325;222;130;11;1968;108
19298;14.767;44.75;26;222;130;11;1968;93
19291;17.233;45.6;161;222;130;11;1969;118
19293;15.4;44.533;566;222;130;11;1969;128
19295;16.55;46.033;138;222;130;11;1969;116
19296;18.233;45.367;231;222;130;11;1969;117
19297;15.283;45.267;325;222;130;11;1969;116
19298;14.767;44.75;26;222;130;11;1969;100
19291;17.233;45.6;161;222;130;11;1970;115
19293;15.4;44.533;566;222;130;11;1970;129
19295;16.55;46.033;138;222;130;11;1970;119
19296;18.233;45.367;231;222;130;11;1970;114
19297;15.283;45.267;325;222;130;11;1970;118
19298;14.767;44.75;26;222;130;11;1970;105
19291;17.233;45.6;161;222;130;11;1971;108
19293;15.4;44.533;566;222;130;11;1971;123
19295;16.55;46.033;138;222;130;11;1971;110
19296;18.233;45.367;231;222;130;11;1971;108
19297;15.283;45.267;325;222;130;11;1971;113
19298;14.767;44.75;26;222;130;11;1971;103
19291;17.233;45.6;161;222;130;11;1972;97
19293;15.4;44.533;566;222;130;11;1972;116
19295;16.55;46.033;138;222;130;11;1972;98
19296;18.233;45.367;231;222;130;11;1972;99
19297;15.283;45.267;325;222;130;11;1972;98
19298;14.767;44.75;26;222;130;11;1972;90
19291;17.233;45.6;161;222;130;11;1973;115
19293;15.4;44.533;566;222;130;11;1973;126
19295;16.55;46.033;138;222;130;11;1973;110
19296;18.233;45.367;231;222;130;11;1973;119
19297;15.283;45.267;325;222;130;11;1973;120
19298;14.767;44.75;26;222;130;11;1973;98
19291;17.233;45.6;161;222;130;11;1974;92
19296;18.233;45.367;231;222;130;11;1974;99
19297;15.283;45.267;325;222;130;11;1974;100
19298;14.767;44.75;26;222;130;11;1974;93
8274;-6.93333;52.3833;80;222;0;11;1975;113
19291;17.233;45.6;161;222;130;11;1975;100
19293;15.4;44.533;566;222;130;11;1975;115
19295;16.55;46.033;138;222;130;11;1975;105
19296;18.233;45.367;231;222;130;11;1975;105
19297;15.283;45.267;325;222;130;11;1975;110
19298;14.767;44.75;26;222;130;11;1975;91
8274;-6.93333;52.3833;80;222;0;11;1976;109
8276;-6.23333;53.3333;30;222;0;11;1976;58
19291;17.233;45.6;161;222;130;11;1976;110
19293;15.4;44.533;566;222;130;11;1976;127
19295;16.55;46.033;138;222;130;11;1976;110
19296;18.233;45.367;231;222;130;11;1976;108
19297;15.283;45.267;325;222;130;11;1976;116
19298;14.767;44.75;26;222;130;11;1976;100
8274;-6.93333;52.3833;80;222;0;11;1977;109
8276;-6.23333;53.3333;30;222;0;11;1977;59
19291;17.233;45.6;161;222;130;11;1977;94
19293;15.4;44.533;566;222;130;11;1977;116
19295;16.55;46.033;138;222;130;11;1977;90
19296;18.233;45.367;231;222;130;11;1977;86
19297;15.283;45.267;325;222;130;11;1977;96
19298;14.767;44.75;26;222;130;11;1977;84
8274;-6.93333;52.3833;80;222;0;11;1978;116
8276;-6.23333;53.3333;30;222;0;11;1978;59
19291;17.233;45.6;161;222;130;11;1978;112
19295;16.55;46.033;138;222;130;11;1978;111
19296;18.233;45.367;231;222;130;11;1978;104
19297;15.283;45.267;325;222;130;11;1978;114
19298;14.767;44.75;26;222;130;11;1978;95
8274;-6.93333;52.3833;80;222;0;11;1979;121
8276;-6.23333;53.3333;30;222;0;11;1979;64
8273;-10.2167;51.9333;14;222;0;11;1980;106
8275;-6.56667;52.45;60;222;0;11;1980;109
8276;-6.23333;53.3333;30;222;0;11;1980;58
19291;17.233;45.6;161;222;130;11;1980;109
19293;15.4;44.533;566;222;130;11;1980;130
19295;16.55;46.033;138;222;130;11;1980;111
19296;18.233;45.367;231;222;130;11;1980;107
19297;15.283;45.267;325;222;130;11;1980;115
19298;14.767;44.75;26;222;130;11;1980;95
8275;-6.56667;52.45;60;222;0;11;1981;95
8276;-6.23333;53.3333;30;222;0;11;1981;58
19291;17.233;45.6;161;222;130;11;1981;98
19293;15.4;44.533;566;222;130;11;1981;116
19295;16.55;46.033;138;222;130;11;1981;103
19297;15.283;45.267;325;222;130;11;1981;99
19298;14.767;44.75;26;222;130;11;1981;95
8274;-6.93333;52.3833;80;222;0;11;1982;98
8275;-6.56667;52.45;60;222;0;11;1982;112
8276;-6.23333;53.3333;30;222;0;11;1982;59
19291;17.233;45.6;161;222;130;11;1982;114
19293;15.4;44.533;566;222;130;11;1982;128
19295;16.55;46.033;138;222;130;11;1982;115
19296;18.233;45.367;231;222;130;11;1982;108
19297;15.283;45.267;325;222;130;11;1982;122
19298;14.767;44.75;26;222;130;11;1982;102
8273;-10.2167;51.9333;14;222;0;11;1983;101
8274;-6.93333;52.3833;80;222;0;11;1983;101
8275;-6.56667;52.45;60;222;0;11;1983;94
8276;-6.23333;53.3333;30;222;0;11;1983;59
19291;17.233;45.6;161;222;130;11;1983;102
19293;15.4;44.533;566;222;130;11;1983;120
19295;16.55;46.033;138;222;130;11;1983;109
19296;18.233;45.367;231;222;130;11;1983;99
19297;15.283;45.267;325;222;130;11;1983;106
19298;14.767;44.75;26;222;130;11;1983;100
8273;-10.2167;51.9333;14;222;0;11;1984;105
8274;-6.93333;52.3833;80;222;0;11;1984;104
8275;-6.56667;52.45;60;222;0;11;1984;105
8276;-6.23333;53.3333;30;222;0;11;1984;101
19291;17.233;45.6;161;222;130;11;1984;112
19293;15.4;44.533;566;222;130;11;1984;122
19295;16.55;46.033;138;222;130;11;1984;110
19296;18.233;45.367;231;222;130;11;1984;109
19297;15.283;45.267;325;222;130;11;1984;119
19298;14.767;44.75;26;222;130;11;1984;107
8273;-10.2167;51.9333;14;222;0;11;1985;94
8274;-6.93333;52.3833;80;222;0;11;1985;101
8275;-6.56667;52.45;60;222;0;11;1985;93
8276;-6.23333;53.3333;30;222;0;11;1985;102
19291;17.233;45.6;161;222;130;11;1985;107
19293;15.4;44.533;566;222;130;11;1985;121
19295;16.55;46.033;138;222;130;11;1985;111
19296;18.233;45.367;231;222;130;11;1985;104
19297;15.283;45.267;325;222;130;11;1985;112
8273;-10.2167;51.9333;14;222;0;11;1986;117
8274;-6.93333;52.3833;80;222;0;11;1986;103
8275;-6.56667;52.45;60;222;0;11;1986;118
8276;-6.23333;53.3333;30;222;0;11;1986;63
19291;17.233;45.6;161;222;130;11;1986;111
19293;15.4;44.533;566;222;130;11;1986;117
19295;16.55;46.033;138;222;130;11;1986;116
19296;18.233;45.367;231;222;130;11;1986;111
19297;15.283;45.267;325;222;130;11;1986;116
19298;14.767;44.75;26;222;130;11;1986;102
8273;-10.2167;51.9333;14;222;0;11;1987;107
8274;-6.93333;52.3833;80;222;0;11;1987;103
8275;-6.56667;52.45;60;222;0;11;1987;90
8276;-6.23333;53.3333;30;222;0;11;1987;106
19291;17.233;45.6;161;222;130;11;1987;112
19293;15.4;44.533;566;222;130;11;1987;121
19295;16.55;46.033;138;222;130;11;1987;113
19296;18.233;45.367;231;222;130;11;1987;109
19297;15.283;45.267;325;222;130;11;1987;114
19298;14.767;44.75;26;222;130;11;1987;104
8273;-10.2167;51.9333;14;222;0;11;1988;82
8274;-6.93333;52.3833;80;222;0;11;1988;90
8276;-6.23333;53.3333;30;222;0;11;1988;98
19291;17.233;45.6;161;222;130;11;1988;110
19293;15.4;44.533;566;222;130;11;1988;118
19296;18.233;45.367;231;222;130;11;1988;107
19297;15.283;45.267;325;222;130;11;1988;113
19298;14.767;44.75;26;222;130;11;1988;102
8273;-10.2167;51.9333;14;222;0;11;1989;89
8274;-6.93333;52.3833;80;222;0;11;1989;119
8276;-6.23333;53.3333;30;222;0;11;1989;97
19291;17.233;45.6;161;222;130;11;1989;90
19293;15.4;44.533;566;222;130;11;1989;101
19295;16.55;46.033;138;222;130;11;1989;90
19296;18.233;45.367;231;222;130;11;1989;90
19297;15.283;45.267;325;222;130;11;1989;91
19298;14.767;44.75;26;222;130;11;1989;85
8273;-10.2167;51.9333;14;222;0;11;1990;96
8274;-6.93333;52.3833;80;222;0;11;1990;83
8275;-6.56667;52.45;60;222;0;11;1990;88
8276;-6.23333;53.3333;30;222;0;11;1990;80
19291;17.233;45.6;161;222;130;11;1990;89
19293;15.4;44.533;566;222;130;11;1990;102
19295;16.55;46.033;138;222;130;11;1990;90
19296;18.233;45.367;231;222;130;11;1990;86
19297;15.283;45.267;325;222;130;11;1990;94
19298;14.767;44.75;26;222;130;11;1990;82
8273;-10.2167;51.9333;14;222;0;11;1991;83
8274;-6.93333;52.3833;80;222;0;11;1991;87
8276;-6.23333;53.3333;30;222;0;11;1991;98
19291;17.233;45.6;161;222;130;11;1991;97
19293;15.4;44.533;566;222;130;11;1991;112
19295;16.55;46.033;138;222;130;11;1991;99
19296;18.233;45.367;231;222;130;11;1991;97
19298;14.767;44.75;26;222;130;11;1991;86
8273;-10.2167;51.9333;14;222;0;11;1992;91
8274;-6.93333;52.3833;80;222;0;11;1992;84
8275;-6.56667;52.45;60;222;0;11;1992;76
8276;-6.23333;53.3333;30;222;0;11;1992;96
19291;17.233;45.6;161;222;130;11;1992;105
19293;15.4;44.533;566;222;130;11;1992;120
19297;15.283;45.267;325;222;130;11;1992;111
19298;14.767;44.75;26;222;130;11;1992;93
8273;-10.2167;51.9333;14;222;0;11;1993;87
8274;-6.93333;52.3833;80;222;0;11;1993;90
8275;-6.56667;52.45;60;222;0;11;1993;89
19291;17.233;45.6;161;222;130;11;1993;110
19293;15.4;44.533;566;222;130;11;1993;122
19296;18.233;45.367;231;222;130;11;1993;109
19297;15.283;45.267;325;222;130;11;1993;116
8274;-6.93333;52.3833;80;222;0;11;1994;86
8275;-6.56667;52.45;60;222;0;11;1994;89
8276;-6.23333;53.3333;30;222;0;11;1994;104
19291;17.233;45.6;161;222;130;11;1994;92
19293;15.4;44.533;566;222;130;11;1994;111
