"","s_id","locale","lon","lat","alt","plant_id","cult_id","year","flo_day","leaf_day","FLS"
"44","142","54.5,11.1","11.1","54.5","6","102","40","1951",122,139,17
"47","244","54.5167,9.56667","9.56667","54.5167","18","102","40","1951",92,117,25
"48","336","53.5833,9.76667","9.76667","53.5833","15","102","40","1951",75,117,42
"51","519","51.95,10.1167","10.1167","51.95","130","102","40","1951",81,104,23
"52","553","51.7167,10","10","51.7167","130","102","40","1951",101,124,23
"54","642","52.8667,9.6","9.6","52.8667","35","102","40","1951",122,138,16
"57","671","53.3333,9.88333","9.88333","53.3333","75","102","40","1951",89,134,45
"66","756","53.0833,9.85","9.85","53.0833","80","102","40","1951",85,114,29
"71","810","53.8167,8.76667","8.76667","53.8167","2","102","40","1951",66,102,36
"72","987","52.3167,8.36667","8.36667","52.3167","65","102","40","1951",79,106,27
"75","1192","52.65,8.11667","8.11667","52.65","25","102","40","1951",87,120,33
"76","1216","53.0833,8.93333","8.93333","53.0833","3","102","40","1951",79,121,42
"78","1318","51.5167,6.31667","6.31667","51.5167","25","102","40","1951",63,108,45
"79","1413","50.9833,7.4","7.4","50.9833","140","102","40","1951",100,125,25
"86","1713","51.5833,9.3","9.3","51.5833","230","102","40","1951",137,142,5
"90","1847","50.9333,8.41667","8.41667","50.9333","320","102","40","1951",140,110,-30
"91","1852","51.1,8.5","8.5","51.1","530","102","40","1951",130,132,2
"95","1904","50.75,9.26667","9.26667","50.75","260","102","40","1951",122,131,9
"105","1990","50.2333,8.86667","8.86667","50.2333","130","102","40","1951",66,100,34
"108","2028","50.5333,9.33333","9.33333","50.5333","440","102","40","1951",117,136,19
"109","2038","50,8.71667","8.71667","50","160","102","40","1951",70,112,42
"115","2356","50.15,9.01667","9.01667","50.15","130","102","40","1951",75,112,37
"116","2359","50.5,8.01667","8.01667","50.5","220","102","40","1951",63,107,44
"117","2369","50.15,8.4","8.4","50.15","200","102","40","1951",81,115,34
"122","2552","50.1667,7.55","7.55","50.1667","450","102","40","1951",96,126,30
"123","2570","49.75,6.7","6.7","49.75","220","102","40","1951",79,126,47
"124","2590","50.0167,6.28333","6.28333","50.0167","330","102","40","1951",133,138,5
"126","2652","49.9833,6.88333","6.88333","49.9833","160","102","40","1951",66,112,46
"127","2670","50.5667,7.96667","7.96667","50.5667","340","102","40","1951",107,131,24
"129","2842","48.7167,9.21667","9.21667","48.7167","391","102","40","1951",77,110,33
"130","2861","48.8667,10.1167","10.1167","48.8667","430","102","40","1951",100,110,10
