"","s_id","locale","lon","lat","alt","plant_id","cult_id","year","flo_day","leaf_day","FLS"
"11","7954","51.9667,5.68333","5.68333","51.9667","0","106","20","1894",87,87,0
"16","7645","52.35,5.63333","5.63333","52.35","0","106","20","1895",113,113,0
"22","7954","51.9667,5.68333","5.68333","51.9667","0","106","20","1895",110,110,0
"31","7645","52.35,5.63333","5.63333","52.35","0","106","20","1896",108,110,2
"37","7954","51.9667,5.68333","5.68333","51.9667","0","106","20","1896",118,115,-3
"46","7645","52.35,5.63333","5.63333","52.35","0","106","20","1897",105,104,-1
"50","7909","53.1,4.76667","4.76667","53.1","0","106","20","1897",120,115,-5
"60","7645","52.35,5.63333","5.63333","52.35","0","106","20","1898",109,113,4
"64","7909","53.1,4.76667","4.76667","53.1","0","106","20","1898",123,117,-6
"66","7954","51.9667,5.68333","5.68333","51.9667","0","106","20","1898",116,116,0
"72","7645","52.35,5.63333","5.63333","52.35","0","106","20","1899",119,116,-3
"74","7909","53.1,4.76667","4.76667","53.1","0","106","20","1899",131,119,-12
"76","7954","51.9667,5.68333","5.68333","51.9667","0","106","20","1899",118,118,0
"81","7645","52.35,5.63333","5.63333","52.35","0","106","20","1900",113,112,-1
"84","7909","53.1,4.76667","4.76667","53.1","0","106","20","1900",127,124,-3
"87","7954","51.9667,5.68333","5.68333","51.9667","0","106","20","1900",114,114,0
"90","7645","52.35,5.63333","5.63333","52.35","0","106","20","1901",118,110,-8
"91","7909","53.1,4.76667","4.76667","53.1","0","106","20","1901",126,120,-6
"95","7645","52.35,5.63333","5.63333","52.35","0","106","20","1902",116,109,-7
"100","7909","53.1,4.76667","4.76667","53.1","0","106","20","1902",132,114,-18
"103","7954","51.9667,5.68333","5.68333","51.9667","0","106","20","1902",110,110,0
"107","7645","52.35,5.63333","5.63333","52.35","0","106","20","1903",96,103,7
"109","7909","53.1,4.76667","4.76667","53.1","0","106","20","1903",125,125,0
"111","7954","51.9667,5.68333","5.68333","51.9667","0","106","20","1903",120,120,0
"114","7645","52.35,5.63333","5.63333","52.35","0","106","20","1904",111,107,-4
"117","7909","53.1,4.76667","4.76667","53.1","0","106","20","1904",126,113,-13
"120","7954","51.9667,5.68333","5.68333","51.9667","0","106","20","1904",110,110,0
"123","7645","52.35,5.63333","5.63333","52.35","0","106","20","1905",115,105,-10
"127","7909","53.1,4.76667","4.76667","53.1","0","106","20","1905",123,118,-5
"130","7954","51.9667,5.68333","5.68333","51.9667","0","106","20","1905",110,107,-3
"132","7645","52.35,5.63333","5.63333","52.35","0","106","20","1906",106,107,1
"136","7909","53.1,4.76667","4.76667","53.1","0","106","20","1906",124,118,-6
"138","7954","51.9667,5.68333","5.68333","51.9667","0","106","20","1906",104,104,0
"140","7645","52.35,5.63333","5.63333","52.35","0","106","20","1907",118,109,-9
"144","7909","53.1,4.76667","4.76667","53.1","0","106","20","1907",128,125,-3
"146","7954","51.9667,5.68333","5.68333","51.9667","0","106","20","1907",110,110,0
"148","7645","52.35,5.63333","5.63333","52.35","0","106","20","1908",124,121,-3
"152","7909","53.1,4.76667","4.76667","53.1","0","106","20","1908",128,126,-2
"154","7954","51.9667,5.68333","5.68333","51.9667","0","106","20","1908",125,123,-2
"156","7645","52.35,5.63333","5.63333","52.35","0","106","20","1909",115,112,-3
"160","7909","53.1,4.76667","4.76667","53.1","0","106","20","1909",122,121,-1
"162","7954","51.9667,5.68333","5.68333","51.9667","0","106","20","1909",112,112,0
"165","7645","52.35,5.63333","5.63333","52.35","0","106","20","1910",110,106,-4
"170","7909","53.1,4.76667","4.76667","53.1","0","106","20","1910",117,109,-8
"173","7954","51.9667,5.68333","5.68333","51.9667","0","106","20","1910",107,107,0
"178","7645","52.35,5.63333","5.63333","52.35","0","106","20","1911",112,111,-1
"181","7909","53.1,4.76667","4.76667","53.1","0","106","20","1911",123,122,-1
"183","7954","51.9667,5.68333","5.68333","51.9667","0","106","20","1911",109,109,0
"187","7645","52.35,5.63333","5.63333","52.35","0","106","20","1912",104,109,5
"193","7909","53.1,4.76667","4.76667","53.1","0","106","20","1912",113,112,-1
"194","7954","51.9667,5.68333","5.68333","51.9667","0","106","20","1912",99,99,0
"198","7645","52.35,5.63333","5.63333","52.35","0","106","20","1913",100,94,-6
"205","7909","53.1,4.76667","4.76667","53.1","0","106","20","1913",117,121,4
"207","7954","51.9667,5.68333","5.68333","51.9667","0","106","20","1913",98,98,0
"209","7645","52.35,5.63333","5.63333","52.35","0","106","20","1914",106,104,-2
