"","s_id","locale","lon","lat","alt","plant_id","cult_id","year","flo_day","leaf_day","FLS"
"18","202","54.1667,10.05","10.05","54.1667","35","108","10","1951",119,122,3
"20","244","54.5167,9.56667","9.56667","54.5167","18","108","10","1951",133,128,-5
"23","363","52.75,8.83333","8.83333","52.75","55","108","10","1951",135,121,-14
"28","417","52.3,9.8","9.8","52.3","60","108","10","1951",123,148,25
"30","434","52.7167,9.13333","9.13333","52.7167","50","108","10","1951",121,115,-6
"31","480","51.5333,9.93333","9.93333","51.5333","150","108","10","1951",126,115,-11
"33","484","51.9833,9.81667","9.81667","51.9833","90","108","10","1951",164,125,-39
"36","531","51.95,9.73333","9.73333","51.95","200","108","10","1951",141,113,-28
"37","553","51.7167,10","10","51.7167","130","108","10","1951",126,132,6
"43","642","52.8667,9.6","9.6","52.8667","35","108","10","1951",140,126,-14
"53","987","52.3167,8.36667","8.36667","52.3167","65","108","10","1951",132,116,-16
"55","1074","51.9,9.85","9.85","51.9","200","108","10","1951",136,112,-24
"57","1082","51.8833,10.1667","10.1667","51.8833","200","108","10","1951",132,114,-18
"65","1197","52.7333,8.28333","8.28333","52.7333","35","108","10","1951",120,116,-4
"71","1318","51.5167,6.31667","6.31667","51.5167","25","108","10","1951",122,120,-2
"77","1539","51.8333,7.3","7.3","51.8333","65","108","10","1951",132,117,-15
"80","1586","52.25,7.6","7.6","52.25","40","108","10","1951",130,112,-18
"83","1609","51.6333,7.38333","7.38333","51.6333","50","108","10","1951",118,116,-2
"88","1713","51.5833,9.3","9.3","51.5833","230","108","10","1951",123,115,-8
"94","1847","50.9333,8.41667","8.41667","50.9333","320","108","10","1951",144,136,-8
"105","1937","50.2667,9.1","9.1","50.2667","150","108","10","1951",93,104,11
"109","1958","49.8667,8.93333","8.93333","49.8667","170","108","10","1951",115,110,-5
"111","1990","50.2333,8.86667","8.86667","50.2333","130","108","10","1951",124,122,-2
"116","2009","50.5167,8.81667","8.81667","50.5167","170","108","10","1951",121,115,-6
"125","2496","49.75,7.3","7.3","49.75","450","108","10","1951",146,120,-26
"133","202","54.1667,10.05","10.05","54.1667","35","108","10","1952",111,117,6
"136","244","54.5167,9.56667","9.56667","54.5167","18","108","10","1952",134,124,-10
"139","279","53.9167,9.51667","9.51667","53.9167","30","108","10","1952",114,117,3
"145","417","52.3,9.8","9.8","52.3","60","108","10","1952",113,143,30
"147","434","52.7167,9.13333","9.13333","52.7167","50","108","10","1952",105,109,4
"151","484","51.9833,9.81667","9.81667","51.9833","90","108","10","1952",120,107,-13
"155","553","51.7167,10","10","51.7167","130","108","10","1952",117,139,22
"159","642","52.8667,9.6","9.6","52.8667","35","108","10","1952",131,121,-10
"172","1074","51.9,9.85","9.85","51.9","200","108","10","1952",129,105,-24
"173","1082","51.8833,10.1667","10.1667","51.8833","200","108","10","1952",103,104,1
"177","1197","52.7333,8.28333","8.28333","52.7333","35","108","10","1952",114,110,-4
"182","1318","51.5167,6.31667","6.31667","51.5167","25","108","10","1952",112,108,-4
"184","1539","51.8333,7.3","7.3","51.8333","65","108","10","1952",125,105,-20
"188","1609","51.6333,7.38333","7.38333","51.6333","50","108","10","1952",124,110,-14
"190","1713","51.5833,9.3","9.3","51.5833","230","108","10","1952",115,108,-7
"195","1847","50.9333,8.41667","8.41667","50.9333","320","108","10","1952",144,136,-8
"197","1852","51.1,8.5","8.5","51.1","530","108","10","1952",100,104,4
"208","1958","49.8667,8.93333","8.93333","49.8667","170","108","10","1952",121,102,-19
"210","1990","50.2333,8.86667","8.86667","50.2333","130","108","10","1952",126,105,-21
"212","2001","50.6167,8.86667","8.86667","50.6167","260","108","10","1952",122,108,-14
"214","2028","50.5333,9.33333","9.33333","50.5333","440","108","10","1952",132,120,-12
"220","2496","49.75,7.3","7.3","49.75","450","108","10","1952",124,108,-16
"231","202","54.1667,10.05","10.05","54.1667","35","108","10","1953",105,109,4
"234","244","54.5167,9.56667","9.56667","54.5167","18","108","10","1953",120,123,3
"236","279","53.9167,9.51667","9.51667","53.9167","30","108","10","1953",135,108,-27
"239","350","52.1,9.36667","9.36667","52.1","65","108","10","1953",113,94,-19
"242","363","52.75,8.83333","8.83333","52.75","55","108","10","1953",118,117,-1
"245","417","52.3,9.8","9.8","52.3","60","108","10","1953",116,109,-7
"247","434","52.7167,9.13333","9.13333","52.7167","50","108","10","1953",110,102,-8
"249","484","51.9833,9.81667","9.81667","51.9833","90","108","10","1953",114,107,-7
