"","s_id","locale","lon","lat","alt","plant_id","cult_id","year","flo_day","leaf_day","FLS"
"1","19293","44.533,15.4","15.4","44.533","566","222","130","1961",100,117,17
"2","19295","46.033,16.55","16.55","46.033","138","222","130","1961",93,100,7
"3","19298","44.75,14.767","14.767","44.75","26","222","130","1961",82,96,14
"4","19291","45.6,17.233","17.233","45.6","161","222","130","1962",116,118,2
"5","19295","46.033,16.55","16.55","46.033","138","222","130","1962",112,118,6
"6","19291","45.6,17.233","17.233","45.6","161","222","130","1963",108,111,3
"7","19291","45.6,17.233","17.233","45.6","161","222","130","1964",108,113,5
"8","19293","44.533,15.4","15.4","44.533","566","222","130","1964",116,118,2
"9","19295","46.033,16.55","16.55","46.033","138","222","130","1964",110,111,1
"10","19296","45.367,18.233","18.233","45.367","231","222","130","1964",111,113,2
"11","19297","45.267,15.283","15.283","45.267","325","222","130","1964",111,113,2
"12","19298","44.75,14.767","14.767","44.75","26","222","130","1964",95,103,8
"13","19291","45.6,17.233","17.233","45.6","161","222","130","1965",106,112,6
"14","19295","46.033,16.55","16.55","46.033","138","222","130","1965",105,110,5
"15","19296","45.367,18.233","18.233","45.367","231","222","130","1965",109,115,6
"16","19297","45.267,15.283","15.283","45.267","325","222","130","1965",113,116,3
"17","19298","44.75,14.767","14.767","44.75","26","222","130","1965",94,100,6
"18","19291","45.6,17.233","17.233","45.6","161","222","130","1966",104,110,6
"19","19295","46.033,16.55","16.55","46.033","138","222","130","1966",98,105,7
"20","19296","45.367,18.233","18.233","45.367","231","222","130","1966",103,109,6
"21","19297","45.267,15.283","15.283","45.267","325","222","130","1966",102,103,1
"22","19298","44.75,14.767","14.767","44.75","26","222","130","1966",74,99,25
"23","19293","44.533,15.4","15.4","44.533","566","222","130","1967",106,113,7
"24","19296","45.367,18.233","18.233","45.367","231","222","130","1967",103,113,10
"25","19291","45.6,17.233","17.233","45.6","161","222","130","1968",98,103,5
"26","19295","46.033,16.55","16.55","46.033","138","222","130","1968",96,100,4
"27","19296","45.367,18.233","18.233","45.367","231","222","130","1968",96,104,8
"28","19297","45.267,15.283","15.283","45.267","325","222","130","1968",99,108,9
"29","19298","44.75,14.767","14.767","44.75","26","222","130","1968",86,93,7
"30","19291","45.6,17.233","17.233","45.6","161","222","130","1969",115,118,3
"31","19293","44.533,15.4","15.4","44.533","566","222","130","1969",125,128,3
"32","19295","46.033,16.55","16.55","46.033","138","222","130","1969",115,116,1
"33","19296","45.367,18.233","18.233","45.367","231","222","130","1969",115,117,2
"34","19297","45.267,15.283","15.283","45.267","325","222","130","1969",112,116,4
"35","19298","44.75,14.767","14.767","44.75","26","222","130","1969",90,100,10
"36","19291","45.6,17.233","17.233","45.6","161","222","130","1970",110,115,5
"37","19293","44.533,15.4","15.4","44.533","566","222","130","1970",126,129,3
"38","19295","46.033,16.55","16.55","46.033","138","222","130","1970",117,119,2
"39","19296","45.367,18.233","18.233","45.367","231","222","130","1970",111,114,3
"40","19297","45.267,15.283","15.283","45.267","325","222","130","1970",114,118,4
"41","19298","44.75,14.767","14.767","44.75","26","222","130","1970",100,105,5
"42","19291","45.6,17.233","17.233","45.6","161","222","130","1971",106,108,2
"43","19293","44.533,15.4","15.4","44.533","566","222","130","1971",120,123,3
"44","19295","46.033,16.55","16.55","46.033","138","222","130","1971",108,110,2
"45","19296","45.367,18.233","18.233","45.367","231","222","130","1971",102,108,6
"46","19297","45.267,15.283","15.283","45.267","325","222","130","1971",109,113,4
"47","19298","44.75,14.767","14.767","44.75","26","222","130","1971",98,103,5
"48","19291","45.6,17.233","17.233","45.6","161","222","130","1972",93,97,4
"49","19293","44.533,15.4","15.4","44.533","566","222","130","1972",108,116,8
"50","19295","46.033,16.55","16.55","46.033","138","222","130","1972",96,98,2
"51","19296","45.367,18.233","18.233","45.367","231","222","130","1972",98,99,1
"52","19297","45.267,15.283","15.283","45.267","325","222","130","1972",95,98,3
"53","19298","44.75,14.767","14.767","44.75","26","222","130","1972",84,90,6
"54","19291","45.6,17.233","17.233","45.6","161","222","130","1973",109,115,6
"55","19293","44.533,15.4","15.4","44.533","566","222","130","1973",124,126,2
"56","19295","46.033,16.55","16.55","46.033","138","222","130","1973",108,110,2
"57","19296","45.367,18.233","18.233","45.367","231","222","130","1973",115,119,4
"58","19297","45.267,15.283","15.283","45.267","325","222","130","1973",119,120,1
"59","19298","44.75,14.767","14.767","44.75","26","222","130","1973",95,98,3
"60","19291","45.6,17.233","17.233","45.6","161","222","130","1974",88,92,4
"61","19296","45.367,18.233","18.233","45.367","231","222","130","1974",95,99,4
"62","19297","45.267,15.283","15.283","45.267","325","222","130","1974",99,100,1
"63","19298","44.75,14.767","14.767","44.75","26","222","130","1974",87,93,6
"64","19291","45.6,17.233","17.233","45.6","161","222","130","1975",93,100,7
"65","19293","44.533,15.4","15.4","44.533","566","222","130","1975",110,115,5
"66","19295","46.033,16.55","16.55","46.033","138","222","130","1975",100,105,5
"67","19296","45.367,18.233","18.233","45.367","231","222","130","1975",102,105,3
"68","19297","45.267,15.283","15.283","45.267","325","222","130","1975",106,110,4
"69","19298","44.75,14.767","14.767","44.75","26","222","130","1975",87,91,4
"70","19291","45.6,17.233","17.233","45.6","161","222","130","1976",108,110,2
"71","19293","44.533,15.4","15.4","44.533","566","222","130","1976",125,127,2
"72","19295","46.033,16.55","16.55","46.033","138","222","130","1976",106,110,4
"73","19296","45.367,18.233","18.233","45.367","231","222","130","1976",105,108,3
"74","19297","45.267,15.283","15.283","45.267","325","222","130","1976",110,116,6
"75","19298","44.75,14.767","14.767","44.75","26","222","130","1976",96,100,4
"76","19291","45.6,17.233","17.233","45.6","161","222","130","1977",85,94,9
"77","19293","44.533,15.4","15.4","44.533","566","222","130","1977",114,116,2
"78","19295","46.033,16.55","16.55","46.033","138","222","130","1977",82,90,8
"79","19296","45.367,18.233","18.233","45.367","231","222","130","1977",83,86,3
"80","19297","45.267,15.283","15.283","45.267","325","222","130","1977",85,96,11
"81","19298","44.75,14.767","14.767","44.75","26","222","130","1977",82,84,2
"82","19291","45.6,17.233","17.233","45.6","161","222","130","1978",104,112,8
"83","19295","46.033,16.55","16.55","46.033","138","222","130","1978",106,111,5
