"","s_id","locale","lon","lat","alt","plant_id","cult_id","year","flo_day","leaf_day","FLS"
"25","244","54.5167,9.56667","9.56667","54.5167","18","129","70","1951",196,132,-64
"27","307","54.15,9.28333","9.28333","54.15","35","129","70","1951",202,133,-69
"29","363","52.75,8.83333","8.83333","52.75","55","129","70","1951",188,132,-56
"31","417","52.3,9.8","9.8","52.3","60","129","70","1951",192,126,-66
"35","466","52.4333,9.26667","9.26667","52.4333","50","129","70","1951",195,126,-69
"36","481","51.5333,9.95","9.95","51.5333","190","129","70","1951",186,130,-56
"37","484","51.9833,9.81667","9.81667","51.9833","90","129","70","1951",183,115,-68
"45","553","51.7167,10","10","51.7167","130","129","70","1951",186,132,-54
"48","568","51.6,10.55","10.55","51.6","340","129","70","1951",205,140,-65
"49","589","52.6333,10.0833","10.0833","52.6333","50","129","70","1951",182,130,-52
"51","642","52.8667,9.6","9.6","52.8667","35","129","70","1951",184,122,-62
"59","732","53.1167,11.2","11.2","53.1167","20","129","70","1951",192,129,-63
"67","1074","51.9,9.85","9.85","51.9","200","129","70","1951",170,126,-44
"69","1118","51.8833,10.55","10.55","51.8833","270","129","70","1951",191,123,-68
"76","1318","51.5167,6.31667","6.31667","51.5167","25","129","70","1951",189,128,-61
"89","1713","51.5833,9.3","9.3","51.5833","230","129","70","1951",196,138,-58
"98","1847","50.9333,8.41667","8.41667","50.9333","320","129","70","1951",190,137,-53
"104","1904","50.75,9.26667","9.26667","50.75","260","129","70","1951",203,135,-68
"112","1924","49.6,8.46667","8.46667","49.6","90","129","70","1951",180,119,-61
"114","1936","50.3667,9.15","9.15","50.3667","300","129","70","1951",181,125,-56
"118","1954","49.9,8.85","8.85","49.9","140","129","70","1951",184,120,-64
"119","1958","49.8667,8.93333","8.93333","49.8667","170","129","70","1951",176,125,-51
"121","1966","49.6167,9.05","9.05","49.6167","510","129","70","1951",189,148,-41
"125","1990","50.2333,8.86667","8.86667","50.2333","130","129","70","1951",188,132,-56
"135","2009","50.5167,8.81667","8.81667","50.5167","170","129","70","1951",168,123,-45
"136","2010","50.5167,8.91667","8.91667","50.5167","190","129","70","1951",179,124,-55
"137","2011","50.6667,8.73333","8.73333","50.6667","210","129","70","1951",186,130,-56
"145","2049","50.1167,8.91667","8.91667","50.1167","110","129","70","1951",186,124,-62
"147","2053","50.8167,8.78333","8.78333","50.8167","200","129","70","1951",199,130,-69
"152","2355","50.1667,8.98333","8.98333","50.1667","120","129","70","1951",170,123,-47
"155","2359","50.5,8.01667","8.01667","50.5","220","129","70","1951",164,119,-45
"157","2568","49.75,6.65","6.65","49.75","260","129","70","1951",178,112,-66
"158","2569","49.75,6.66667","6.66667","49.75","180","129","70","1951",180,112,-68
"163","2647","49.7333,6.68333","6.68333","49.7333","240","129","70","1951",151,120,-31
"165","2676","50.2,7.86667","7.86667","50.2","260","129","70","1951",161,116,-45
"170","2810","49.2167,7.56667","7.56667","49.2167","350","129","70","1951",166,119,-47
"171","2842","48.7167,9.21667","9.21667","48.7167","391","129","70","1951",182,122,-60
"173","2861","48.8667,10.1167","10.1167","48.8667","430","129","70","1951",186,126,-60
"177","2888","49.0833,9.96667","9.96667","49.0833","480","129","70","1951",173,138,-35
"181","2904","48.7,9.7","9.7","48.7","340","129","70","1951",185,130,-55
"187","2912","48.6,10.1333","10.1333","48.6","580","129","70","1951",206,139,-67
"188","2914","48.6333,10.0167","10.0167","48.6333","620","129","70","1951",203,135,-68
"189","2915","48.6167,10.25","10.25","48.6167","460","129","70","1951",180,121,-59
"195","2939","49.15,9.36667","9.36667","49.15","200","129","70","1951",163,138,-25
"197","2956","48.75,8.86667","8.86667","48.75","400","129","70","1951",185,147,-38
"201","2972","49.5333,9.85","9.85","49.5333","330","129","70","1951",199,136,-63
"207","3014","49.0833,9.88333","9.88333","49.0833","370","129","70","1951",182,127,-55
"209","3016","48.5833,10.0333","10.0333","48.5833","610","129","70","1951",176,126,-50
"211","3018","48.5,10.1167","10.1167","48.5","460","129","70","1951",195,131,-64
"215","3040","48.8833,9.65","9.65","48.8833","500","129","70","1951",183,140,-43
"216","3053","49.1,8.65","8.65","49.1","140","129","70","1951",183,119,-64
"219","3059","49.1833,8.75","8.75","49.1833","160","129","70","1951",161,125,-36
"220","3064","49.1833,8.68333","8.68333","49.1833","130","129","70","1951",178,118,-60
