s_id;lon;lat;alt;plant_id;cult_id;bbch;year;day
7482;6.66667;52.35;0;222;100;60;1894;99
7499;5.88333;51.2167;0;222;100;60;1894;98
7515;4.3;51.5;0;222;100;60;1894;93
7641;4.26667;51.5333;0;222;100;60;1894;95
7720;4.5;52.1667;0;222;100;60;1894;92
7752;3.61667;51.5;0;222;100;60;1894;92
7839;6;51.2;0;222;100;60;1894;94
7857;4.28333;52.1;0;222;100;60;1894;98
7922;6.33333;53.35;0;222;100;60;1894;104
7923;5.11667;52.1;0;222;100;60;1894;93
8007;6.73333;52.8;0;222;100;60;1894;98
7482;6.66667;52.35;0;222;130;60;1894;97
7492;5.91667;51.9833;0;222;130;60;1894;94
7515;4.3;51.5;0;222;130;60;1894;96
7577;5.28333;52.05;0;222;130;60;1894;93
7625;3.88333;51.5;0;222;130;60;1894;87
7633;6.61667;52.0333;0;222;130;60;1894;96
7635;6.56667;53.2167;0;222;130;60;1894;101
7641;4.26667;51.5333;0;222;130;60;1894;92
7742;5.68333;50.85;0;222;130;60;1894;97
7814;4.51667;51.5833;0;222;130;60;1894;94
7842;5.36667;51.7167;0;222;130;60;1894;93
7954;5.68333;51.9667;0;222;130;60;1894;88
7956;6.56667;53.3833;0;222;130;60;1894;115
8000;6.9;52.75;0;222;130;60;1894;100
8007;6.73333;52.8;0;222;130;60;1894;101
7473;6;53.3333;0;222;100;60;1895;128
7482;6.66667;52.35;0;222;100;60;1895;117
7499;5.88333;51.2167;0;222;100;60;1895;112
7515;4.3;51.5;0;222;100;60;1895;116
7645;5.63333;52.35;0;222;100;60;1895;114
7763;5.88333;51.75;0;222;100;60;1895;112
7857;4.28333;52.1;0;222;100;60;1895;119
7901;7.06667;52.8833;0;222;100;60;1895;117
7996;4.58333;52.0167;0;222;100;60;1895;124
8007;6.73333;52.8;0;222;100;60;1895;115
7473;6;53.3333;0;222;130;60;1895;130
7482;6.66667;52.35;0;222;130;60;1895;115
7492;5.91667;51.9833;0;222;130;60;1895;116
7499;5.88333;51.2167;0;222;130;60;1895;120
7515;4.3;51.5;0;222;130;60;1895;122
7577;5.28333;52.05;0;222;130;60;1895;116
7625;3.88333;51.5;0;222;130;60;1895;97
7635;6.56667;53.2167;0;222;130;60;1895;121
7645;5.63333;52.35;0;222;130;60;1895;117
7763;5.88333;51.75;0;222;130;60;1895;118
7814;4.51667;51.5833;0;222;130;60;1895;115
7954;5.68333;51.9667;0;222;130;60;1895;115
7996;4.58333;52.0167;0;222;130;60;1895;124
8000;6.9;52.75;0;222;130;60;1895;114
8007;6.73333;52.8;0;222;130;60;1895;118
7473;6;53.3333;0;222;100;60;1896;127
7492;5.91667;51.9833;0;222;100;60;1896;111
7515;4.3;51.5;0;222;100;60;1896;105
7566;6.16667;52.2667;0;222;100;60;1896;119
7645;5.63333;52.35;0;222;100;60;1896;106
7752;3.61667;51.5;0;222;100;60;1896;97
7923;5.11667;52.1;0;222;100;60;1896;112
7938;5.46667;51.7;0;222;100;60;1896;126
7956;6.56667;53.3833;0;222;100;60;1896;111
7996;4.58333;52.0167;0;222;100;60;1896;123
7482;6.66667;52.35;0;222;130;60;1896;122
7492;5.91667;51.9833;0;222;130;60;1896;115
7515;4.3;51.5;0;222;130;60;1896;110
7566;6.16667;52.2667;0;222;130;60;1896;113
7577;5.28333;52.05;0;222;130;60;1896;101
7645;5.63333;52.35;0;222;130;60;1896;110
7647;6.63333;53.15;0;222;130;60;1896;120
7742;5.68333;50.85;0;222;130;60;1896;109
7763;5.88333;51.75;0;222;130;60;1896;109
7814;4.51667;51.5833;0;222;130;60;1896;109
7954;5.68333;51.9667;0;222;130;60;1896;108
7956;6.56667;53.3833;0;222;130;60;1896;111
7996;4.58333;52.0167;0;222;130;60;1896;123
