"","name","y","c","d","e","f","g"
"1","Lindera_benzoin",1,0,5,1,8,4
"2","Sassafras_albidum",0,0,18,1,9.5,5
"3","Liriodendron_tulipifera",0,0,32,0,9.5,5.5
"4","Asimina_triloba",1,0,9,1,9.5,5.5
"5","Platanus_occidentalis",0,1,30,0,10,5
"6","Liquidambar_styraciflua",0,1,22,0,12,4.5
"7","Hamamelis_virginiana",0,0,10,1,10.5,10.5
"8","Ribes_triste",0,0,1,1,7.5,5
"9","Staphylea_trifolia",0,0,4,1,9.5,4.5
"10","Dirca_palustris",1,0,2,1,6,4.5
"11","Tilia_americana",0,0,30,1,10,6.5
"12","Tilia_cordata",0,0,18,1,10,6.5
"13","Rhus_aromatica",1,0,2,0,7.5,4.5
"14","Rhus_glabra",0,0,7,0,9.5,6
"15","Rhus_typhina",0,0,9,0,9.5,6
"16","Aesculus_glabra",0,0,15,1,10,4.5
"17","Aesculus_hippocastanum",0,0,20,1,10,6
"18","Acer_nigrum",0,1,27,1,10,4.5
"19","Acer_spicatum",0,0,9,1,7.5,6
"20","Acer_platanoides",1,1,18,1,9.5,5.5
"21","Acer_pensylvanicum",0,0,12,1,7.5,5.5
"22","Acer_negundo",1,1,25,0,9.5,4.5
"23","Acer_saccharinum",1,1,30,0,5,3.5
"24","Acer_rubrum",1,1,30,1,5.5,4
"25","Acer_saccharum",0,1,30,1,9.5,4.5
"26","Ailanthus_altissima",0,0,20,0,10,6
"27","Ptelea_trifoliata",0,0,5,1,9.5,6
"28","Zanthoxylum_americanum",1,0,5,1,8.5,4.5
"29","Populus_heterophylla",1,1,18,0,5.5,3.5
"30","Populus_deltoides",1,1,32,0,5.5,4.5
"31","Populus_balsamifera",1,1,30,0,5.5,4.5
"32","Populus_grandidentata",1,1,32,0,5.5,4
"33","Populus_tremuloides",1,1,32,0,5.5,3.5
"34","Populus_alba",1,1,24,0,5.5,4.5
"35","Salix_serissima",0,0,4,0,9,5.5
"36","Salix_petiolaris",0,0,3,0,5,5
"37","Salix_pedicellaris",0,0,1,0,6.5,5.5
"38","Salix_humilis",1,0,3,0,5,4
"39","Salix_candida",1,0,1.5,0,6,5
"40","Salix_nigra",0,0,20,0,6,4.5
"41","Salix_fragilis",0,0,25,0,5.5,4.5
