specie_source,ssp,page,author,section,series,species_old,anthy,mating system,inflorescence type,erect?,inflorescence descriptor,flower size,inflorescence length,flowers/inflorescence,inflorescence location,merosity,flower color,leaf width,leaf length,petiole length,habit,height
nipponicum,,,Hara,parviflora,parviflora,,synanthous,,I,erect,paniculate-corymbose,,30-40,400-600,terminal,5,yellow-green,20-Oct,,15-Aug,small/medium tree,20-Oct
spicatum,,,Lamark,paviflora,caudata,,seranthous,,I,suberect,paniculate-racemose,,15-Aug,50-200,terminal,5,yellow-green,12-Jun,12-Jun,6-Apr,large shrub,
circinatum,,,Pursh,palmata,palmata,,,,i,,corymbose-clusters,,,25-May,,5,white,,,,large shrub,10
japonicum,,,Thunburg ex Murray,palmata,palmata,,hysteranthous,,,drooping,corymbose,,,25-May,,5,red,15-Aug,,5-Mar,large shrub/small tree,10-Aug
palmatum,palmatum,(arb),Thunberg ex Murray,palmata,palmata,,,,,,corymbose,,small,25-May,terminal,5,cream/red-purple,10-May,10-May,5-Feb,small tree,10
pseudosieboldianum,psuedosieboldianum,,(Pax) Komarov,palmata,palmata,,hysteranthous,,,,corymbose,,,25-May,terminal,5,cream/red-purple,14-Oct,,5-Mar,shrub/small tree,8
shirasawanum,shirasawanum,,Koidzumi,palmata,palmata,,synanthous,,,upright,corymbose,,,25-May,terminal,5,white/purple,12-Sep,,5,small tree,15
shirasawanum,tenufolium,arb,Koidzumi,palmata,palmata,,,,,,corymbose,,,25-May,terminal,5,yellow/purple,8-May,,5-Mar,shrub/small tree,10-Aug
sieboldianum,,arb,Miquel,palmata,palmata,,,,,,densly corymbose,small,,25-May,terminal,5,pale yellow,9-Jun,,2.5-4,small tree,10
campbellii_ssp._sinense,sinense,,(Pax) de Jong,palmata,sinensia,,synanthous,,,,paniculate,,15,20-250,terminal,5,yellow-green,12-Sep,,5-Mar,small tree,10
erianthum,,,Schwerin,palmata,sinensia,,seranthous,,,,paniculate,,10-May,20-250,,,yellow,12-Jun,,,shrub/small tree,8-Jun
oliverianum,formisanum,135,,,,,synanthous,,,,,,,,,,,,,,,
oliverianum,oliverianum,135,,,,,synanthous,,,,,,,,,,,,,,,
tutcheri,,138,,,,,seranthous,,,,,,,,,,,,,,,
crataegifolium,,149,,,,,synanthous,,,,,,,,,,,,,,,
davidii,,149( at arb),,,,,,,,,,,,,,,,,,,,
pensylvanicum,,157,,,,,seranthous,,,,,,,,,,,,,,,
rufinerve,,159,,,,,seranthous,,,,,,,,,,,,,,,
sikkimense,sikkinense,160,,,,,synanthous,,,,,,,,,,,,,,,
tegmentosum,,161,,,,,synanthous/hysteranthous,,,,,,,,,,,,,,,
tschonoskii,,162(arb),,,,observation based,synanthous,,,,,,,,,,,,,,,
argutum,,166,,,,,hysteranthous,,,,,,,,,,,,,,,
negundo,,170 (arb and other confirmation),,,,,hysteranthous,,,,,,,,,,,,,,,
henryi,,172,,,,,hysteranthous,,,,,,,,,,,,,,,
heldreichii,trautvetteri,177,,,,,seranthous,,,,,,,,,,,,,,,
pseudoplatanus,,178,,,,,seranthous,,,,,,,,,,,,,,,
velutinum,,180,,,,,seranthous,,,,,,,,,,,,,,,
hyrcanum,hycanum,181,,,,,synanthous,,,,,,,,,,,,,,,
monspessulanum,cinerascens,184,,,,,synanthous,,,,,,,,,,,,,,,
opalus,obtusarum,189,,,,,hysteranthous,,,,,,,,,,,,,,,
opalus,opalus,189,,,,,hysteranthous/synanthous,,,,,,,,,,,,,,,
saccharum_ssp._saccharum,saccharum,192,,,,,hysteranthous,,,,,,,,,,,,,,,
oblongum,,200,,,,,synanthous,,,,,,,,,,,,,,,
buergerianum,,201,,,,paxii,synanthous,,,,,,,,,,,,,,,
maximowiczianum,,205,,,,,hysteranthous,,,,,,,,,,,,,,,
triflorum,,206 (arb),,,,obervation based,hysteranthous,,,,,,,,,,,,,,,
sterculiaceum,sterculiaceum,211,,,,,synanthous,,,,,,,,,,,,,,,
sterculiaceum,thomsinii,212,,,,,synanthous,,,,,,,,,,,,,,,
macrophyllum,,213,,,,,synanthous/seranthous,,,,,,,,,,,,,,,
cappadocicum,lobelii,217,,,,,synanthous,,,,,,,,,,,,,,,
mono,mono,223,,,,,synanthous/seranthous,,,,,,,,,,,,,,,
mono,ambiguum,226,,,,,synanthous,,,,,,,,,,,,,,,
platanoides,platanoides,227,,,,,hysteranthous,,,,,,,,,,,,,,,
truncatum,,229,,,,,seranthous,,,,,,,,,,,,,,,
tataricum,tataricum,234,,,,,synanthous,,,,,,,,,,,,,,,
pycnanthum,,235,,,,,hysteranthous,,,,,,,,,,,,,,,
rubrum,,236,,,,,hysteranthous,,,,,,,,,,,,,,,
saccharinum,,237,,,,,hysteranthous,,,,,,,,,,,,,,,
campestre,,VT,,,,,synanthous,,,,,,,,,,,,,,,
grandidentatum,,VT,,,,,synanthous,,,,,,,,,,,,,,,
miyabei,,VT,,,,,synanthous,,,,,,,,,,,,,,,
